"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Transforme seu corpo com a Lipo Enzimática: Resultados Visíveis desde a Metade do Tratamento! 💡

• Este procedimento é ideal para quem deseja eliminar gordura de maneira eficaz e segura. E para pacientes que perderam peso rapidamente, como esta, oferecemos um adicional importante: estimulação do colágeno da pele, garantindo que sua pele se mantenha firme e tonificada.

• Me chama no direct para saber mais! ✨🤍","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/C-3aaUOuDyQ/","0","","12","2024-08-19T21:00:00.000Z",
"Quando uma pele está devidamente hidratada, ela FALA! 🤩

• A limpeza de pele remove impurezas, renova e devolve o brilho natural, deixando a pele mais saudável e luminosa; 🤍

• Toda pele precisa e pede por isso. ✨","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DCE7Q4rvNlE/","2","Ameeiiiiii❤️","13","2024-11-07T16:32:18.000Z",
"Muito obrigada a todas vocês que confiaram e seguem confiando no meu trabalho. 

Agradeço muito as clientes que tenho, a amizade que criei com todas vocês e sou extremamente grata pelo carinho que recebo de todas!

Que em 2025 sigamos juntas mais do que nunca, esperamos um ano próspero, alegre e de muito carinho! 

Feliz 2025, minhas lindas! 🤍✨🥂🍾","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DEQr5Jwvu_v/","0","","4","2024-12-31T23:11:40.000Z",
"Você sabia que nem sempre as linhas de expressão são sinais de envelhecimento? Muitas vezes, elas são apenas sinais de desidratação! 🤔🫣

• Em apenas uma sessão de limpeza de pele, foi possível reduzir as linhas pois era apenas falta de hidratação; 

• Com isso, devolvemos à pele a hidratação, nutrição, viço e um brilho saudável para essa pele! 🤍✨","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DCE3L8EPuPd/","2","Uauuuu😍😍😍👏👏","7","2024-11-07T15:56:40.000Z",
"Pequenos hábitos, grandes mudanças! 

• Beba mais água do que ontem;
• Caminhe por alguns minutos;
• Invista em produtos melhores para sua pele;
• Hidrate mais o seu cabelo.

Seu corpo é um só, cuide melhor de sí! 🤍✨

#habitossaudaveis #melhora #motivation","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DEqTCZIPv80/","0","","1","2025-01-10T21:54:43.000Z",
"Recomendo e tenho esses procedimentos como meus xodós! 😍

Comenta aqui os seus procedimentos que não vive sem! 🤍✨","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DEf9dGWP-c_/","7","Vc é maravilhosa, amei as dicas ❤️","21","2025-01-06T21:36:48.000Z",
"Você conhece as micro correntes faciais? 

Um procedimento muito seguro e INCRÍVEL que cuida da sua pele com benefícios que a nossa pele mais precisa. 💆🏻‍♀️✨

Produção de colágeno: Estimula a síntese de colágeno e elastina.

Redução de linhas finas: Ameniza rugas e marcas de expressão.

Hidratação da pele: Melhora a absorção de ativos cosméticos.

Revitalização celular: Estimula a regeneração das células da pele.

Efeito lifting: Proporciona um aspecto mais jovem e 
levantado.

Estimulação muscular: Tonifica os músculos faciais, promovendo firmeza.

Melhora da circulação: Aumenta o fluxo sanguíneo, oxigenando os tecidos.

Seguro e não invasivo: Sem dor ou tempo de recuperação.","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DDPwM96P7LL/","5","😍😍😍😍 tudoooo!!","22","2024-12-06T17:59:47.000Z",
"Feliz 2025! 🥂✨

Que as nossas metas se realizem, mas primeiro que tenhamos ânimo e coragem para fazer acontecer!

@estetik_ac está junto com você e estará aqui para te ajudar, vamos juntos porque 2025 é nosso! 💪🏻🤍","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DEfacY1xLJ5/","0","","4","2025-01-06T16:27:48.000Z",
"Benefícios e Importância da Limpeza e Hidratação da Pele: ✨🤍

Remove Impurezas: Elimina células mortas e excesso de oleosidade, evitando cravos e espinhas; 

Melhora a Absorção: Pele limpa absorve melhor cremes e tratamentos;

Equilíbrio e Viço: A hidratação previne o ressecamento e melhora o brilho natural;

Prevenção de Linhas Finas: Hidratação contínua ajuda a evitar rugas causadas pelo ressecamento (Como mostramos no post anterior);

Aparência Saudável: Pele mais luminosa e renovada no dia a dia.

Para uma pele jovem e saudável esse é o básico do inegociável 🫱🏻‍🫲🏽✨","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DCE68ssPWxN/","2","Ameeiiii","11","2024-11-07T16:29:33.000Z",
"Vocês são terríveis! 😂

#2025 #limpezadepele","Ana Carla | Estética em Mauá/SP","estetik_ac","https://www.instagram.com/p/DEm-3o5Rdcr/","10","😂😂😂😂😂😂","28","2025-01-09T15:00:00.000Z",
